model,against,n_cells,mean_crps_model,mean_crps_against,mean_diff,skill_score,sd_diff_cell,se_cell_naive,se_cluster_location,se_cluster_split,mean_diff_by_split,se_split_level,cells_model_better,cells_model_worse,cells_tied,splits_model_better,n_splits,win_rate_cells
persistence,reference,371,24.879338288409706,22.098446493261452,2.7808917951482486,-0.12584105384947497,39.39684152167743,2.0453820986815443,3.92536046330976,2.9850022838177366,2.772783710554263,3.13865861654718,174,197,0,3,8,0.46900269541778977
persistence,reference_r1,371,24.879338288409706,21.91740396495957,2.9619343234501354,-0.1351407460566738,39.36756496688155,2.0438621356901554,3.9924868392038952,2.964933935627417,2.953553922502956,3.11595390459163,169,202,0,2,8,0.4555256064690027
persistence,reference_r2,371,24.879338288409706,22.27197036657682,2.607367921832884,-0.11706947696669534,39.06385465581542,2.0280942819880288,3.7065015749323758,2.991582424326441,2.587836447089244,3.1498605983643744,177,194,0,3,8,0.477088948787062
persistence,reference_r3,371,24.879338288409706,22.38484446091644,2.4944938274932618,-0.1114367281777906,40.644123500403005,2.110137752504444,4.001908615647924,3.1378694753534146,2.497419084851508,3.2998469862707256,167,204,0,3,8,0.4501347708894879
persistence,reference_r4,371,24.879338288409706,21.81956718059299,3.059771107816714,-0.14023060505701368,39.10226861795529,2.0300886355317536,4.022809215143081,2.8732158525491283,3.052325387773347,3.0199273521111167,166,205,0,2,8,0.4474393530997305
ensemble,reference,371,18.816872064690028,22.098446493261452,-3.2815744285714286,0.14849796928359127,18.265743555492474,0.9483101549385669,2.3252093136682936,1.7257028725522359,-3.22741379057975,1.832549760935597,160,211,0,6,8,0.431266846361186
ensemble,reference_r1,371,18.816872064690028,21.91740396495957,-3.1005319002695404,0.14146437713273496,18.28977346578604,0.9495577257195986,2.3009450912684,1.7317848949105596,-3.0466435786310564,1.841240992107233,152,219,0,6,8,0.40970350404312667
ensemble,reference_r2,371,18.816872064690028,22.27197036657682,-3.4550983018867925,0.15513213447301466,17.971725221208576,0.9330454835994304,2.234338583212607,1.5773960870818746,-3.41236105404477,1.670614510121855,169,202,0,7,8,0.4555256064690027
ensemble,reference_r3,371,18.816872064690028,22.38484446091644,-3.567972396226414,0.15939232468003217,19.922793447075186,1.034339898795078,2.4756168503095135,1.9745102471732756,-3.502778416282505,2.097559861281744,155,216,0,5,8,0.41778975741239893
ensemble,reference_r4,371,18.816872064690028,21.81956718059299,-3.0026951159029633,0.13761478818762518,18.122106433613904,0.9408528871361489,2.3353051129233777,1.6514514372654625,-2.947872113360667,1.7570162565292575,152,219,0,6,8,0.40970350404312667
climatology,reference,371,24.3369086361186,22.098446493261452,2.238462142857143,-0.1012950002408417,25.739915854197868,1.3363498462377232,2.683630189161409,1.9190299889005367,2.3253633878038205,2.05801756383212,165,206,0,2,8,0.444743935309973
climatology,reference_r1,371,24.3369086361186,21.91740396495957,2.419504671159031,-0.11039193670140923,25.690853334973948,1.3338026471562536,2.61820734997174,1.9231621771177558,2.5061335997525136,2.062064396059445,153,218,0,2,8,0.4123989218328841
climatology,reference_r2,371,24.3369086361186,22.27197036657682,2.064938269541778,-0.0927146649153503,25.78012982262699,1.338437651451667,2.7484386428169345,1.83387575526875,2.1404161243388002,1.9678165286772817,175,196,0,3,8,0.4716981132075472
climatology,reference_r3,371,24.3369086361186,22.38484446091644,1.9520641752021568,-0.0872047236517739,26.900096158665786,1.396583406450815,2.7669280403969783,2.0994136946496926,2.0499987621010645,2.2496526394383944,167,204,0,3,8,0.4501347708894879
climatology,reference_r4,371,24.3369086361186,21.81956718059299,2.517341455525608,-0.11537082448475933,25.499028829957943,1.3238436150741437,2.6429568772818697,1.8607933181674792,2.604905065022903,1.9978555840190177,162,209,0,2,8,0.4366576819407008
