fork,stage,kind,owner,main_child,children_perturbed,rows,largest_move_combination,largest_abs_delta_skill,signed_delta_skill,moves_more_than_reference_noise,skill_span_over_children,sensitivity_rank
analysis/03_models/03_candidate,family,family,-,c_ensemble,a_hierNB;b_boosted,2,family_hierNB,0.21735,-0.21735,True,0.130331,1
analysis/03_models/03_candidate/c_ensemble/01_weighting,weighting,candidate,c_ensemble,a_equal,b_crpsWeighted,1,weighting_crpsWeighted,0.179073,-0.179073,True,0.0,2
analysis/04_score/02_aggregate,aggregate,scoring,-,a_unweighted,b_populationWeighted;c_caseWeighted,2,aggregate_populationWeighted,0.090755,0.090755,True,0.011109,3
analysis/02_setup/02_trainingWindow,trainingWindow,setup,-,a_from1998,b_from2004,1,trainingWindow_from2004,0.041567,-0.041567,False,0.0,4
analysis/02_setup/03_provinces,provinces,setup,-,a_chapFilter,b_reportingOnly;c_mergeVientiane,2,provinces_mergeVientiane,0.036559,-0.036559,False,0.067783,5
analysis/02_setup/01_population,popColumn,setup,-,a_static,b_backCast,1,popColumn_backCast,0.031123,-0.031123,False,0.0,6
analysis/03_models/01_baselines/01_persistence,persistence,baseline,-,a_empiricalChange,b_negBinomialFloor,1,persistence_negBinomialFloor,0.027486,-0.027486,False,0.0,7
analysis/02_setup/04_retrain,retrain,setup,-,a_once,b_everySplit,1,retrain_everySplit,0.013308,0.013308,False,0.0,8
analysis/03_models/03_candidate/a_hierNB/02_covariates,covariates,candidate,a_hierNB,c_climateFree,a_lagged;b_rich,2,covariates_rich,0.007969,0.007969,False,0.007974,9
analysis/03_models/03_candidate/a_hierNB/04_fitTime,fitTime,candidate,a_hierNB,a_trainOnly,b_refitAtPredict,1,fitTime_refitAtPredict,0.00565,0.00565,False,0.0,10
analysis/03_models/03_candidate/a_hierNB/01_observation,observation,candidate,a_hierNB,c_hurdle,a_negBinomial;b_zeroInflated,2,observation_zeroInflated,0.005159,-0.005159,False,0.00062,11
analysis/03_models/01_baselines/02_climatology,climatology,baseline,-,a_expandingWindow,b_frozenWindow,1,climatology_frozenWindow,0.00245,-0.00245,False,0.0,12
analysis/03_models/03_candidate/a_hierNB/03_population,population,candidate,a_hierNB,a_offset,b_covariate;c_ignored,2,population_ignored,0.001931,-0.001931,False,0.000681,13
analysis/03_models/03_candidate/b_boosted/02_head,head,candidate,b_boosted,a_negBinomial,b_quantileEnsemble,1,head_quantileEnsemble,0.001804,0.001804,False,0.0,14
analysis/03_models/03_candidate/a_hierNB/06_yearVariance,yearVariance,candidate,a_hierNB,b_provinceScaled,a_shared,1,yearVariance_shared,0.001051,-0.001051,False,0.0,15
analysis/03_models/03_candidate/b_boosted/01_features,features,candidate,b_boosted,a_lagBlock,b_richCalendar,1,features_richCalendar,0.000208,0.000208,False,0.0,16
analysis/03_models/03_candidate/a_hierNB/05_autoregressive,autoregressive,candidate,a_hierNB,a_none,b_lag3,1,autoregressive_lag3,0.000166,0.000166,False,0.0,17
